node_id,phase,year,round,start_day,coverage
1,burnin,2019,1,25365,0.64
1,burnin,2019,2,25395,0.55
1,burnin,2019,3,25185,0.54
1,burnin,2019,4,25425,0.5
1,burnin,2020,1,25550,0.74
1,burnin,2020,2,25730,0.65
1,burnin,2020,3,25760,0.54
1,burnin,2020,4,25790,0.5
1,burnin,2021,1,26095,0.8
1,burnin,2021,2,26125,0.76
1,burnin,2021,3,26155,0.7
1,burnin,2021,4,26185,0.65
1,burnin,2022,1,26460,0.7
1,burnin,2022,2,26490,0.7
1,burnin,2022,3,26520,0.7
1,burnin,2022,4,26550,0.7
1,pickup,2023,1,180,0.3
1,pickup,2023,2,210,0.3
1,pickup,2023,3,240,0.3
1,pickup,2023,4,270,0.3
1,pickup,2024,1,545,0.4
1,pickup,2024,2,575,0.4
1,pickup,2024,3,605,0.4
1,pickup,2024,4,635,0.4
1,pickup,2025,1,910,0.6
1,pickup,2025,2,940,0.6
1,pickup,2025,3,970,0.6
1,pickup,2025,4,1000,0.6
1,pickup,2026,1,1275,0.7
1,pickup,2026,2,1305,0.7
1,pickup,2026,3,1335,0.7
1,pickup,2026,4,1365,0.7
